address_name,address_url,address_type,address_price,address_bedrooms,address_bathrooms,address_sqft
"289 Kawaihae St APT 122, Honolulu, HI 96825",https://www.zillow.com/homedetails/289-Kawaihae-St-APT-122-Honolulu-HI-96825/82465632_zpid/,Townhouse for sale,"$720,000.00",3 bds,2 ba,"1,006 sqft"
"3940 Sierra Dr, Honolulu, HI 96816",https://www.zillow.com/homedetails/3940-Sierra-Dr-Honolulu-HI-96816/606987_zpid/,House for sale,"$849,000.00",3 bds,2 ba,"2,271 sqft"
"520 Lunalilo Home Rd UNIT 305, Honolulu, HI 96825",https://www.zillow.com/homedetails/520-Lunalilo-Home-Rd-UNIT-305-Honolulu-HI-96825/82383772_zpid/,House for sale,"$1,360,000.00",3 bds,3 ba,"1,640 sqft"
"91-1168 Lanakoi St, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-1168-Lanakoi-St-Kapolei-HI-96707/676794_zpid/,House for sale,"$679,000.00",3 bds,3 ba,"1,320 sqft"
"2428 N School St, Honolulu, HI 96819",https://www.zillow.com/homedetails/2428-N-School-St-Honolulu-HI-96819/2077801799_zpid/,House for sale,"$799,000.00",3 bds,3 ba,"1,008 sqft"
"7248 Kuahono St, Honolulu, HI 96825",https://www.zillow.com/homedetails/7248-Kuahono-St-Honolulu-HI-96825/621473_zpid/,Foreclosure,"$862,000.00",3 bds,2 ba,"2,159 sqft"
"4136 Black Point Rd, Honolulu, HI 96816",https://www.zillow.com/homedetails/4136-Black-Point-Rd-Honolulu-HI-96816/610455_zpid/,House for sale,"$1,250,000.00",2 bds,1 ba,"1,176 sqft"
"1815 Alewa Dr, Honolulu, HI 96817",https://www.zillow.com/homedetails/1815-Alewa-Dr-Honolulu-HI-96817/589150_zpid/,House for sale,"$1,398,000.00",4 bds,4 ba,"2,498 sqft"
"91-1042 Wahipana St, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-1042-Wahipana-St-Kapolei-HI-96707/676810_zpid/,House for sale,"$699,000.00",3 bds,3 ba,"1,471 sqft"
"2724 Kahoaloha Ln APT 2501, Honolulu, HI 96826",https://www.zillow.com/homedetails/2724-Kahoaloha-Ln-APT-2501-Honolulu-HI-96826/82436203_zpid/,Condo for sale,"$159,000.00",2 bds,2 ba,823 sqft
"1388 Ala Moana Blvd APT 6504, Honolulu, HI 96814",https://www.zillow.com/homedetails/1388-Ala-Moana-Blvd-APT-6504-Honolulu-HI-96814/125720758_zpid/,Condo for sale,"$12,745,000.00",4 bds,4 ba,"4,060 sqft"
"231 Naone St, Honolulu, HI 96813",https://www.zillow.com/homedetails/231-Naone-St-Honolulu-HI-96813/590549_zpid/,House for sale,"$799,000.00",4 bds,3 ba,"1,727 sqft"
"555 Hahaione St APT 5A, Honolulu, HI 96825",https://www.zillow.com/homedetails/555-Hahaione-St-APT-5A-Honolulu-HI-96825/82462904_zpid/,Condo for sale,"$605,000.00",2 bds,2 ba,"1,475 sqft"
"3402 Oahu Ave, Honolulu, HI 96822",https://www.zillow.com/homedetails/3402-Oahu-Ave-Honolulu-HI-96822/597915_zpid/,House for sale,"$1,277,000.00",3 bds,2 ba,"1,088 sqft"
"1086 Kumukumu St APT D, Honolulu, HI 96825",https://www.zillow.com/homedetails/1086-Kumukumu-St-APT-D-Honolulu-HI-96825/623066_zpid/,Condo for sale,"$314,900.00",4 bds,3 ba,"1,549 sqft"
"91-1801 Lauo St, Ewa Beach, HI 96706",https://www.zillow.com/homedetails/91-1801-Lauo-St-Ewa-Beach-HI-96706/63025245_zpid/,House for sale,"$799,989.00",4 bds,3 ba,"1,785 sqft"
"1860 Ala Moana Blvd PENTHOUSE 2202, Honolulu, HI 96815",https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-PENTHOUSE-2202-Honolulu-HI-96815/82456597_zpid/,Condo for sale,"$308,000.00",2 bds,2 ba,"1,381 sqft"
"1860 Ala Moana Blvd APT 703, Honolulu, HI 96815",https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-APT-703-Honolulu-HI-96815/82463053_zpid/,Condo for sale,"$148,000.00",2 bds,2 ba,"1,180 sqft"
"1720 Ala Moana Blvd #B-506, Honolulu, HI 96815",https://www.zillow.com/homedetails/1720-Ala-Moana-Blvd-B-506-Honolulu-HI-96815/2080520196_zpid/,Condo for sale,"$125,000.00",2 bds,1 ba,858 sqft
"91-1334 Kekahili St, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-1334-Kekahili-St-Kapolei-HI-96707/250257383_zpid/,House for sale,"$595,000.00",4 bds,3 ba,"1,598 sqft"
"92-681 Malahuna Loop, Kapolei, HI 96707",https://www.zillow.com/homedetails/92-681-Malahuna-Loop-Kapolei-HI-96707/679635_zpid/,House for sale,"$685,000.00",3 bds,2 ba,"1,440 sqft"
"205 Kawaihae St #A5, Honolulu, HI 96825",https://www.zillow.com/homedetails/205-Kawaihae-St-A5-Honolulu-HI-96825/82485910_zpid/,House for sale,"$960,000.00",3 bds,3 ba,"1,632 sqft"
"3124 Lanikaula St, Honolulu, HI 96822",https://www.zillow.com/homedetails/3124-Lanikaula-St-Honolulu-HI-96822/597681_zpid/,House for sale,"$840,000.00",3 bds,2 ba,991 sqft
"233 Madeira St, Honolulu, HI 96813",https://www.zillow.com/homedetails/233-Madeira-St-Honolulu-HI-96813/590081_zpid/,House for sale,"$1,599,000.00",5 bds,4 ba,"2,362 sqft"
"2100 Date St APT 605, Honolulu, HI 96826",https://www.zillow.com/homedetails/2100-Date-St-APT-605-Honolulu-HI-96826/82456176_zpid/,Condo for sale,"$525,000.00",2 bds,2 ba,778 sqft
"4679B Kahala Ave, Honolulu, HI 96816",https://www.zillow.com/homedetails/4679B-Kahala-Ave-Honolulu-HI-96816/2083490728_zpid/,House for sale,"$23,000,000.00",6 bds,6 ba,"4,947 sqft"
"520 Lunalilo Home Rd UNIT 7107, Honolulu, HI 96825",https://www.zillow.com/homedetails/520-Lunalilo-Home-Rd-UNIT-7107-Honolulu-HI-96825/82442511_zpid/,Condo for sale,"$680,000.00",2 bds,2 ba,"1,345 sqft"
"92-314 Kiowainui Pl, Kapolei, HI 96707",https://www.zillow.com/homedetails/92-314-Kiowainui-Pl-Kapolei-HI-96707/72202128_zpid/,House for sale,"$888,000.00",3 bds,3 ba,"1,865 sqft"
"2511 Henry St, Honolulu, HI 96817",https://www.zillow.com/homedetails/2511-Henry-St-Honolulu-HI-96817/591784_zpid/,House for sale,"$699,000.00",3 bds,2 ba,"1,582 sqft"
"98-364 Kilihe Way #33, Aiea, HI 96701",https://www.zillow.com/homedetails/98-364-Kilihe-Way-33-Aiea-HI-96701/710813_zpid/,House for sale,"$950,000.00",8 bds,5 ba,"2,886 sqft"
"84-1219 Alahele St, Waianae, HI 96792",https://www.zillow.com/homedetails/84-1219-Alahele-St-Waianae-HI-96792/662778_zpid/,House for sale,"$1,950,000.00",5 bds,5 ba,"4,379 sqft"
"356 Kealahou St, Honolulu, HI 96825",https://www.zillow.com/homedetails/356-Kealahou-St-Honolulu-HI-96825/624530_zpid/,House for sale,"$985,000.00",3 bds,2 ba,"1,532 sqft"
"522 Lawelawe St, Honolulu, HI 96821",https://www.zillow.com/homedetails/522-Lawelawe-St-Honolulu-HI-96821/615380_zpid/,House for sale,"$1,345,000.00",4 bds,3 ba,"2,057 sqft"
"2029 Ala Wai Blvd APT 504, Honolulu, HI 96815",https://www.zillow.com/homedetails/2029-Ala-Wai-Blvd-APT-504-Honolulu-HI-96815/82503283_zpid/,Condo for sale,"$218,500.00",2 bds,2 ba,896 sqft
"1822 10th Ave APT A, Honolulu, HI 96816",https://www.zillow.com/homedetails/1822-10th-Ave-APT-A-Honolulu-HI-96816/607354_zpid/,Apartment for sale,"$685,000.00",4 bds,2 ba,"1,485 sqft"
"979 Prospect St, Honolulu, HI 96822",https://www.zillow.com/homedetails/979-Prospect-St-Honolulu-HI-96822/82510475_zpid/,House for sale,"$649,000.00",5 bds,4 ba,"1,444 sqft"
"94-312 Kamalei St, Mililani, HI 96789",https://www.zillow.com/homedetails/94-312-Kamalei-St-Mililani-HI-96789/688013_zpid/,House for sale,"$790,900.00",4 bds,2 ba,"2,232 sqft"
"94-618 Lumiaina St #M202, Waipahu, HI 96797",https://www.zillow.com/homedetails/94-618-Lumiaina-St-M202-Waipahu-HI-96797/72187288_zpid/,For sale by owner,"$449,000.00",2 bds,2 ba,830 sqft
"2549 Tantalus Dr, Honolulu, HI 96813",https://www.zillow.com/homedetails/2549-Tantalus-Dr-Honolulu-HI-96813/593053_zpid/,House for sale,"$14,700,000.00",4 bds,5 ba,"11,596 sqft"
"387 Portlock Rd, Honolulu, HI 96825",https://www.zillow.com/homedetails/387-Portlock-Rd-Honolulu-HI-96825/618620_zpid/,House for sale,"$9,500,000.00",4 bds,6 ba,"8,427 sqft"
"1610 Ahihi St, Honolulu, HI 96819",https://www.zillow.com/homedetails/1610-Ahihi-St-Honolulu-HI-96819/584113_zpid/,House for sale,"$770,000.00",3 bds,2 ba,"1,108 sqft"
"94-719 Kaaka St, Waipahu, HI 96797",https://www.zillow.com/homedetails/94-719-Kaaka-St-Waipahu-HI-96797/691645_zpid/,House for sale,"$715,000.00",4 bds,2 ba,"1,528 sqft"
"94-200 Olua Pl, Waipahu, HI 96797",https://www.zillow.com/homedetails/94-200-Olua-Pl-Waipahu-HI-96797/51614481_zpid/,House for sale,"$1,149,000.00",5 bds,3 ba,"2,271 sqft"
"2500 Kalakaua Ave APT 201, Honolulu, HI 96815",https://www.zillow.com/homedetails/2500-Kalakaua-Ave-APT-201-Honolulu-HI-96815/82443138_zpid/,Condo for sale,"$299,000.00",2 bds,2 ba,"1,544 sqft"
"1717 Ala Wai Blvd APT 2206, Honolulu, HI 96815",https://www.zillow.com/homedetails/1717-Ala-Wai-Blvd-APT-2206-Honolulu-HI-96815/82478643_zpid/,Condo for sale,"$669,000.00",3 bds,2 ba,"1,348 sqft"
"1300 Lunalilo Home Rd, Honolulu, HI 96825",https://www.zillow.com/homedetails/1300-Lunalilo-Home-Rd-Honolulu-HI-96825/624907_zpid/,House for sale,"$950,000.00",4 bds,3 ba,"2,037 sqft"
"939 N Kalaheo Ave, Kailua, HI 96734",https://www.zillow.com/homedetails/939-N-Kalaheo-Ave-Kailua-HI-96734/638816_zpid/,House for sale,"$1,425,000.00",3 bds,3 ba,"1,913 sqft"
"44 Kaliko Dr #A, Wahiawa, HI 96786",https://www.zillow.com/homedetails/44-Kaliko-Dr-A-Wahiawa-HI-96786/2077855424_zpid/,House for sale,"$799,000.00",3 bds,3 ba,"1,584 sqft"
"6806 Niumalu Loop, Honolulu, HI 96825",https://www.zillow.com/homedetails/6806-Niumalu-Loop-Honolulu-HI-96825/622174_zpid/,House for sale,"$1,390,000.00",4 bds,2 ba,"1,908 sqft"
"1860 Ala Moana Blvd APT 910, Honolulu, HI 96815",https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-APT-910-Honolulu-HI-96815/82476007_zpid/,Condo for sale,"$149,000.00",2 bds,2 ba,"1,180 sqft"
"131 Pekelo Pl, Wahiawa, HI 96786",https://www.zillow.com/homedetails/131-Pekelo-Pl-Wahiawa-HI-96786/660353_zpid/,House for sale,"$880,000.00",7 bds,4 ba,"3,001 sqft"
"4817 Kaimoku Way, Honolulu, HI 96821",https://www.zillow.com/homedetails/4817-Kaimoku-Way-Honolulu-HI-96821/613303_zpid/,House for sale,"$3,595,000.00",6 bds,5 ba,"3,915 sqft"
"68-169 Au St, Waialua, HI 96791",https://www.zillow.com/homedetails/68-169-Au-St-Waialua-HI-96791/72214661_zpid/,House for sale,"$1,720,000.00",4 bds,3 ba,"1,798 sqft"
"6710 Hawaii Kai Dr APT 1108, Honolulu, HI 96825",https://www.zillow.com/homedetails/6710-Hawaii-Kai-Dr-APT-1108-Honolulu-HI-96825/82513769_zpid/,Condo for sale,"$550,000.00",2 bds,2 ba,935 sqft
"45-359 Akimala St, Kaneohe, HI 96744",https://www.zillow.com/homedetails/45-359-Akimala-St-Kaneohe-HI-96744/642511_zpid/,House for sale,"$775,000.00",3 bds,2 ba,"1,624 sqft"
"2244 Kaululaau St, Honolulu, HI 96813",https://www.zillow.com/homedetails/2244-Kaululaau-St-Honolulu-HI-96813/593911_zpid/,House for sale,"$849,900.00",6 bds,5 ba,"3,564 sqft"
"61-365 Kamehameha Hwy, Haleiwa, HI 96712",https://www.zillow.com/homedetails/61-365-Kamehameha-Hwy-Haleiwa-HI-96712/655273_zpid/,House for sale,"$4,995,000.00",4 bds,3 ba,"1,535 sqft"
"89-1114 Puawiliwili Pl, Waianae, HI 96792",https://www.zillow.com/homedetails/89-1114-Puawiliwili-Pl-Waianae-HI-96792/668489_zpid/,House for sale,"$265,000.00",4 bds,2 ba,"1,212 sqft"
"87-1009 Kahiwelola St, Waianae, HI 96792",https://www.zillow.com/homedetails/87-1009-Kahiwelola-St-Waianae-HI-96792/68133761_zpid/,House for sale,"$505,000.00",3 bds,2 ba,"1,071 sqft"
"91-1199 Namahoe St, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-1199-Namahoe-St-Kapolei-HI-96707/677654_zpid/,House for sale,"$900,000.00",4 bds,3 ba,"2,338 sqft"
"1658 Lewalani Dr, Honolulu, HI 96822",https://www.zillow.com/homedetails/1658-Lewalani-Dr-Honolulu-HI-96822/82500505_zpid/,House for sale,"$799,000.00",3 bds,3 ba,"1,293 sqft"
"202 Kaikuono Pl, Honolulu, HI 96816",https://www.zillow.com/homedetails/202-Kaikuono-Pl-Honolulu-HI-96816/2101885193_zpid/,House for sale,"$23,000,000.00",4 bds,5 ba,"4,829 sqft"
"41-540 Inoaole St, Waimanalo, HI 96795",https://www.zillow.com/homedetails/41-540-Inoaole-St-Waimanalo-HI-96795/627046_zpid/,House for sale,"$610,000.00",4 bds,4 ba,"1,977 sqft"
"1439 Alewa Dr APT B, Honolulu, HI 96817",https://www.zillow.com/homedetails/1439-Alewa-Dr-APT-B-Honolulu-HI-96817/589328_zpid/,House for sale,"$769,000.00",4 bds,2 ba,"1,184 sqft"
"2947 Kalakaua Ave APT 201, Honolulu, HI 96815",https://www.zillow.com/homedetails/2947-Kalakaua-Ave-APT-201-Honolulu-HI-96815/82430978_zpid/,Condo for sale,"$179,000.00",1 bd,1 ba,944 sqft
"315 Opihikao Pl #441, Honolulu, HI 96825",https://www.zillow.com/homedetails/315-Opihikao-Pl-441-Honolulu-HI-96825/82449353_zpid/,Townhouse for sale,"$1,195,000.00",3 bds,3 ba,"1,557 sqft"
"1121 Banyan St APT C, Honolulu, HI 96817",https://www.zillow.com/homedetails/1121-Banyan-St-APT-C-Honolulu-HI-96817/587020_zpid/,House for sale,"$325,000.00",3 bds,1 ba,816 sqft
"2126 Aamanu St, Pearl City, HI 96782",https://www.zillow.com/homedetails/2126-Aamanu-St-Pearl-City-HI-96782/702960_zpid/,House for sale,"$699,000.00",5 bds,3 ba,"2,098 sqft"
"87-1009 Kahiwelola St, Waianae, HI 96792",https://www.zillow.com/homedetails/87-1009-Kahiwelola-St-Waianae-HI-96792/68133761_zpid/,House for sale,"$505,000.00",3 bds,2 ba,"1,071 sqft"
"89-554 Farrington Hwy, Waianae, HI 96792",https://www.zillow.com/homedetails/89-554-Farrington-Hwy-Waianae-HI-96792/668325_zpid/,House for sale,"$447,000.00",4 bds,3 ba,"1,344 sqft"
"91-219 Kolili Pl, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-219-Kolili-Pl-Kapolei-HI-96707/674623_zpid/,House for sale,"$695,000.00",3 bds,3 ba,"1,315 sqft"
"1643 Liliha St APT C, Honolulu, HI 96817",https://www.zillow.com/homedetails/1643-Liliha-St-APT-C-Honolulu-HI-96817/119089727_zpid/,House for sale,"$550,000.00",3 bds,2 ba,940 sqft
"3639 Diamond Head Rd, Honolulu, HI 96816",https://www.zillow.com/homedetails/3639-Diamond-Head-Rd-Honolulu-HI-96816/600900_zpid/,House for sale,"$15,800,000.00",3 bds,5 ba,"3,168 sqft"
"3288 Pawaina St, Honolulu, HI 96822",https://www.zillow.com/homedetails/3288-Pawaina-St-Honolulu-HI-96822/597175_zpid/,House for sale,"$1,175,000.00",3 bds,2 ba,"1,334 sqft"
"87-2161 Pakeke St, Waianae, HI 96792",https://www.zillow.com/homedetails/87-2161-Pakeke-St-Waianae-HI-96792/72198560_zpid/,House for sale,"$530,000.00",3 bds,3 ba,"1,387 sqft"
"1920 Ala Moana Blvd APT 1107, Honolulu, HI 96815",https://www.zillow.com/homedetails/1920-Ala-Moana-Blvd-APT-1107-Honolulu-HI-96815/82476140_zpid/,Condo for sale,"$100,000.00",Studio,1 ba,320 sqft
"67-245 Kaui St, Waialua, HI 96791",https://www.zillow.com/homedetails/67-245-Kaui-St-Waialua-HI-96791/657040_zpid/,House for sale,"$725,000.00",5 bds,4 ba,"1,488 sqft"
"1805 Holapa St, Honolulu, HI 96818",https://www.zillow.com/homedetails/1805-Holapa-St-Honolulu-HI-96818/716074_zpid/,House for sale,"$895,000.00",3 bds,2 ba,"1,458 sqft"
"1221 Victoria St APT 705, Honolulu, HI 96814",https://www.zillow.com/homedetails/1221-Victoria-St-APT-705-Honolulu-HI-96814/82450267_zpid/,Condo for sale,"$232,500.00",2 bds,2 ba,"1,634 sqft"
"2028 Oswald St, Honolulu, HI 96816",https://www.zillow.com/homedetails/2028-Oswald-St-Honolulu-HI-96816/608717_zpid/,House for sale,"$820,000.00",3 bds,2 ba,"1,500 sqft"
"3071 Felix St, Honolulu, HI 96816",https://www.zillow.com/homedetails/3071-Felix-St-Honolulu-HI-96816/608463_zpid/,House for sale,"$950,000.00",4 bds,3 ba,"1,716 sqft"
"1702 Kewalo St APT 1103, Honolulu, HI 96822",https://www.zillow.com/homedetails/1702-Kewalo-St-APT-1103-Honolulu-HI-96822/82446565_zpid/,Condo for sale,"$399,500.00",2 bds,1 ba,736 sqft
"145 Kailuana Loop, Kailua, HI 96734",https://www.zillow.com/homedetails/145-Kailuana-Loop-Kailua-HI-96734/637551_zpid/,House for sale,"$27,500,000.00",10 bds,11 ba,"14,834 sqft"
"44 Kaliko Dr, Wahiawa, HI 96786",https://www.zillow.com/homedetails/44-Kaliko-Dr-Wahiawa-HI-96786/660446_zpid/,House for sale,"$785,000.00",3 bds,3 ba,"1,584 sqft"
"98-633 Kilinoe St APT 1A1, Aiea, HI 96701",https://www.zillow.com/homedetails/98-633-Kilinoe-St-APT-1A1-Aiea-HI-96701/72207887_zpid/,Townhouse for sale,"$468,000.00",2 bds,2 ba,947 sqft
"2470 Kalakaua Ave APT 1003, Honolulu, HI 96815",https://www.zillow.com/homedetails/2470-Kalakaua-Ave-APT-1003-Honolulu-HI-96815/82431644_zpid/,Condo for sale,"$628,000.00",2 bds,2 ba,"1,025 sqft"
"3033 Woolsey Pl, Honolulu, HI 96822",https://www.zillow.com/homedetails/3033-Woolsey-Pl-Honolulu-HI-96822/597720_zpid/,House for sale,"$955,000.00",5 bds,2 ba,"1,610 sqft"
"848 2nd St, Pearl City, HI 96782",https://www.zillow.com/homedetails/848-2nd-St-Pearl-City-HI-96782/701237_zpid/,House for sale,"$728,000.00",3 bds,2 ba,"1,336 sqft"
"7018 Hawaii Kai Dr UNIT 615, Honolulu, HI 96825",https://www.zillow.com/homedetails/7018-Hawaii-Kai-Dr-UNIT-615-Honolulu-HI-96825/82502064_zpid/,Auction,$453K,3 bds,3 ba,"1,595 sqft"
"2092 Kuhio Ave APT 2402, Honolulu, HI 96815",https://www.zillow.com/homedetails/2092-Kuhio-Ave-APT-2402-Honolulu-HI-96815/82463688_zpid/,Condo for sale,"$438,000.00",1 bd,1 ba,559 sqft
"2017 Iholena St, Honolulu, HI 96817",https://www.zillow.com/homedetails/2017-Iholena-St-Honolulu-HI-96817/588717_zpid/,House for sale,"$1,149,000.00",8 bds,4 ba,"3,645 sqft"
"91-1191 Kaiau Ave APT 1606, Kapolei, HI 96707",https://www.zillow.com/homedetails/91-1191-Kaiau-Ave-APT-1606-Kapolei-HI-96707/111035990_zpid/,Townhouse for sale,"$535,000.00",3 bds,3 ba,"1,105 sqft"
"3 Lumahai St, Honolulu, HI 96825",https://www.zillow.com/homedetails/3-Lumahai-St-Honolulu-HI-96825/618807_zpid/,House for sale,"$3,399,000.00",5 bds,4 ba,"3,939 sqft"
"838 Kealahou St, Honolulu, HI 96825",https://www.zillow.com/homedetails/838-Kealahou-St-Honolulu-HI-96825/625250_zpid/,House for sale,"$859,000.00",3 bds,2 ba,"1,379 sqft"
"3638 Crater Rd APT D, Honolulu, HI 96816",https://www.zillow.com/homedetails/3638-Crater-Rd-APT-D-Honolulu-HI-96816/603129_zpid/,House for sale,"$795,000.00",6 bds,2 ba,"1,627 sqft"
"1251 Heulu St PH 4, Honolulu, HI 96822",https://www.zillow.com/homedetails/1251-Heulu-St-PH-4-Honolulu-HI-96822/2083721215_zpid/,Condo for sale,"$189,900.00",3 bds,2 ba,"1,060 sqft"
"3848 Anuhea St, Honolulu, HI 96816",https://www.zillow.com/homedetails/3848-Anuhea-St-Honolulu-HI-96816/605936_zpid/,House for sale,"$1,249,000.00",4 bds,3 ba,"1,840 sqft"
"92-831 Makakilo Dr APT 47, Kapolei, HI 96707",https://www.zillow.com/homedetails/92-831-Makakilo-Dr-APT-47-Kapolei-HI-96707/61194393_zpid/,House for sale,"$639,000.00",3 bds,3 ba,"1,349 sqft"
"1177 Queen St APT 3504, Honolulu, HI 96814",https://www.zillow.com/homedetails/1177-Queen-St-APT-3504-Honolulu-HI-96814/82478957_zpid/,Condo for sale,"$1,089,000.00",2 bds,2 ba,"1,157 sqft"
"1439 Alewa Dr APT B, Honolulu, HI 96817",https://www.zillow.com/homedetails/1439-Alewa-Dr-APT-B-Honolulu-HI-96817/589328_zpid/,House for sale,"$769,000.00",4 bds,2 ba,"1,184 sqft"
"1658 Lewalani Dr, Honolulu, HI 96822",https://www.zillow.com/homedetails/1658-Lewalani-Dr-Honolulu-HI-96822/82500505_zpid/,House for sale,"$799,000.00",3 bds,3 ba,"1,293 sqft"
"41-540 Inoaole St, Waimanalo, HI 96795",https://www.zillow.com/homedetails/41-540-Inoaole-St-Waimanalo-HI-96795/627046_zpid/,House for sale,"$610,000.00",4 bds,4 ba,"1,977 sqft"
"1121 Banyan St APT C, Honolulu, HI 96817",https://www.zillow.com/homedetails/1121-Banyan-St-APT-C-Honolulu-HI-96817/587020_zpid/,House for sale,"$325,000.00",3 bds,1 ba,816 sqft
"87-2161 Pakeke St, Waianae, HI 96792",https://www.zillow.com/homedetails/87-2161-Pakeke-St-Waianae-HI-96792/72198560_zpid/,House for sale,"$530,000.00",3 bds,3 ba,"1,387 sqft"
"500 University Ave APT 924, Honolulu, HI 96826",https://www.zillow.com/homedetails/500-University-Ave-APT-924-Honolulu-HI-96826/82427032_zpid/,Condo for sale,"$519,500.00",2 bds,3 ba,"1,225 sqft"
"202 Kaikuono Pl, Honolulu, HI 96816",https://www.zillow.com/homedetails/202-Kaikuono-Pl-Honolulu-HI-96816/2101885193_zpid/,House for sale,"$23,000,000.00",4 bds,5 ba,"4,829 sqft"
